FLOWNO:string,FLOWTYPE:string,START:string,END:string,LEVEL:int
188,Feature,"Business Intelligence, PLC/HMI",Assembly,"1,00"
189,Feature,"Business Intelligence, PLC/HMI",Research & Development,"1,00"
190,Feature,"Business Intelligence, PLM",Research & Development,"1,00"
191,Feature,"Business Intelligence, SCADA/DCS",Aftermarket Service,"1,00"
192,Feature,CNC Machinery,Manufacturing,"1,00"
193,Feature,"Data Aggregation, IoT-Edge",Aftermarket Service,"1,00"
194,Feature,"Data Aggregation, MS Project",Assembly,"1,00"
195,Feature,"Data Aggregation, MS Project",Project Management,"1,00"
196,Feature,"Data Aggregation, MS Windows",Aftermarket Service,"1,00"
197,Feature,"Data Aggregation, MS Windows",Assembly,"1,00"
198,Feature,"Data Aggregation, MS Windows",Distribution,"1,00"
199,Feature,"Data Aggregation, MS Windows",Logistics,"1,00"
200,Feature,"Data Aggregation, MS Windows",Maintenance,"1,00"
201,Feature,"Data Aggregation, MS Windows",Manufacturing,"1,00"
202,Feature,"Data Aggregation, MS Windows",Procurement,"1,00"
203,Feature,"Data Aggregation, MS Windows",Project Management,"1,00"
204,Feature,"Data Aggregation, MS Windows",Quality Management,"1,00"
205,Feature,"Data Aggregation, MS Windows",Research & Development,"1,00"
206,Feature,"Data Aggregation, MS Windows",Sales,"1,00"
207,Feature,Data Historian,Aftermarket Service,"1,00"
208,Feature,"Flurförderfahrzeug, Stapler",Assembly,"1,00"
209,Feature,"Flurförderfahrzeug, Stapler",Assembly,"1,00"
210,Feature,"Flurförderfahrzeug, Stapler",Distribution,"1,00"
211,Feature,"Flurförderfahrzeug, Stapler",Distribution,"1,00"
212,Feature,"Flurförderfahrzeug, Stapler",Logistics,"1,00"
213,Feature,"Flurförderfahrzeug, Stapler",Logistics,"1,00"
214,Feature,"Flurförderfahrzeug, Stapler",Manufacturing,"1,00"
215,Feature,"Flurförderfahrzeug, Stapler",Manufacturing,"1,00"
216,Feature,Hand-Tools,Assembly,"1,00"
217,Feature,Hand-Tools,Manufacturing,"1,00"
218,Feature,"Hebezeuge, Deckenkran",Assembly,"1,00"
219,Feature,"Hebezeuge, Deckenkran",Manufacturing,"1,00"
220,Feature,"Hebezeuge, Montagekran",Assembly,"1,00"
221,Feature,"Hebezeuge, Montagekran",Manufacturing,"1,00"
222,Feature,Human Resources,Recruiting,"1,00"
223,Feature,Human Resources,"Training, Continued Education","1,00"
224,Debt,Information Technology,Aftermarket Service,"1,00"
225,Debt,Information Technology,Assembly,"1,00"
226,Debt,Information Technology,Corporate Governance,"1,00"
227,Debt,Information Technology,Distribution,"1,00"
228,Debt,Information Technology,Logistics,"1,00"
229,Debt,Information Technology,Maintenance,"1,00"
230,Debt,Information Technology,Manufacturing,"1,00"
231,Debt,Information Technology,Procurement,"1,00"
232,Debt,Information Technology,Project Management,"1,00"
233,Debt,Information Technology,Quality Management,"1,00"
234,Debt,Information Technology,Research & Development,"1,00"
235,Debt,Information Technology,Sales,"1,00"
236,Feature,"Long Term Storage, CRM",Aftermarket Service,"1,00"
237,Feature,"Long Term Storage, CRM",Project Management,"1,00"
238,Feature,"Long Term Storage, CRM",Quality Management,"1,00"
239,Feature,"Long Term Storage, CRM",Sales,"1,00"
240,Feature,"Long Term Storage, Data",Quality Management,"1,00"
241,Feature,"Long Term Storage, ERP",Aftermarket Service,"1,00"
242,Feature,"Long Term Storage, ERP",Assembly,"1,00"
243,Feature,"Long Term Storage, ERP",Distribution,"1,00"
244,Feature,"Long Term Storage, ERP",Logistics,"1,00"
245,Feature,"Long Term Storage, ERP",Maintenance,"1,00"
246,Feature,"Long Term Storage, ERP",Manufacturing,"1,00"
247,Feature,"Long Term Storage, ERP",Procurement,"1,00"
248,Feature,"Long Term Storage, ERP",Project Management,"1,00"
249,Feature,"Long Term Storage, ERP",Quality Management,"1,00"
250,Feature,"Long Term Storage, ERP",Research & Development,"1,00"
251,Feature,"Long Term Storage, ERP",Sales,"1,00"
252,Feature,"Machine Learning, Digital Twin",Aftermarket Service,"1,00"
253,Feature,"Machine Learning, Digital Twin",Research & Development,"1,00"
254,Feature,"Machine Learning, Data Stream",Aftermarket Service,"1,00"
255,Feature,"Machine Learning, Data Stream",Manufacturing,"1,00"
256,Feature,"Machine Learning, Data Stream",Assembly,"1,00"
257,Feature,"Machine Learning, Data Stream",Logistics,"1,00"
258,Feature,"Machine Learning, Data Stream",Distribution,"1,00"
259,Debt,Property Management,Lab,"1,00"
260,Debt,Property Management,Office,"1,00"
261,Debt,Property Management,Shopfloor,"1,00"
262,Debt,Property Management,Warehouse,"1,00"
263,Feature,"Utilities, Air",Utility Management,"1,00"
264,Feature,"Utilities, Heat",Utility Management,"1,00"
265,Feature,"Utilities, Power",Utility Management,"1,00"
266,Feature,"Utilities, Water",Utility Management,"1,00"
267,Feature,North America,Sales,"2,00"
268,Feature,South America,Sales,"1,00"
269,Feature,Europe Central,Sales,"2,00"
270,Feature,Europe East,Sales,"1,00"
271,Feature,Europe South,Sales,"1,00"
272,Feature,Africa,Sales,"1,00"
273,Feature,Middle East,Sales,"1,00"
274,Feature,"Asia (excl. India, China, Japan)",Sales,"2,00"
275,Feature,"Asia, India",Sales,"2,00"
276,Feature,"Asia, China",Sales,"2,00"
277,Feature,Asia Japan,Sales,"1,00"
278,Feature,Australia,Sales,"1,00"
279,Feature,Tier-1,Supplier,"3,00"
280,Feature,Tier-2,Supplier,"2,00"
281,Feature,Tier-3,Supplier,"1,00"
282,Feature,Semiconductor,Supplier,"1,00"
283,Feature,Electronics,Supplier,"1,00"
284,Feature,Copper,Supplier,"1,00"
285,Feature,Steel,Supplier,"1,00"
286,Feature,Aluminum,Supplier,"1,00"
287,Feature,Bearings,Supplier,"1,00"
288,Feature,"Machinery, Appliances",Supplier,"1,00"
